comparison,feature_set,feature,feature_group,rows_a,rows_b,mean_a,mean_b,median_a,median_b,std_a,std_b,missing_a,missing_b,missing_gap,smd,abs_smd,ks_stat,wasserstein
hybrid_vs_paired_all,unit,wf_trough_to_peak_ms,other,24211,8982,0.3160643233791802,0.9873703643372972,0.3,1.0,0.12953379924413844,0.34664002951474315,0.0,0.31652193275439766,0.31652193275439766,2.56550616733423,2.56550616733423,0.8555870478692954,0.671376627915819
hybrid_vs_paired_all,unit,snr,other,24211,8982,6.296288476406553,4.359455760349849,6.323244607873681,4.1544091621401105,0.7069451155563201,0.840445791312469,0.0,0.0,0.0,-2.4940879049698617,2.4940879049698617,0.798997234483837,1.9369387172125014
hybrid_vs_paired_all,unit,wf_bin_17,waveform_bins,24211,8982,0.3427380979042827,-0.40003637684599863,0.4010191857814789,-0.43898823857307434,0.2557954429277962,0.34079051103827573,0.0,0.0,0.0,-2.4651908244838228,2.4651908244838228,0.8329851916739458,0.742774474820816
hybrid_vs_paired_all,unit,wf_bin_16,waveform_bins,24211,8982,0.10753543304429679,-0.5922497494859476,0.06161675974726677,-0.6676332950592041,0.3117705881451954,0.3108076285572118,0.0,0.0,0.0,-2.2480206556723576,2.2480206556723576,0.81283635288328,0.699785620651976
hybrid_vs_paired_all,unit,wf_peak_trough_ms,other,24211,8982,0.27509258876819076,0.9549840421583908,0.23333333333333334,1.0,0.12408426210627391,0.429318377947145,0.0,0.0,0.0,2.151559683000146,2.151559683000146,0.7881495463310616,0.6799062978940226
hybrid_vs_paired_all,unit,wf_bin_18,waveform_bins,24211,8982,0.3269248668631681,-0.265052109797661,0.32217782735824585,-0.2693900763988495,0.17506748050802484,0.35667099036074124,0.0,0.0,0.0,-2.10707448655428,2.10707448655428,0.8091641867758389,0.5953160006980813
hybrid_vs_paired_all,unit,wf_zero_cross_post_ms,other,24211,8982,0.17120867925047842,0.5359857740131401,0.16666666666666666,0.55,0.07074311434567038,0.2446411698800845,0.0,0.31652193275439766,0.31652193275439766,2.025697265659584,2.025697265659584,0.7957114546153321,0.3688540434388051
hybrid_vs_paired_all,unit,wf_line_length_norm,other,24211,8982,3.7733697171282343,2.2481769681560837,3.643519163131714,2.3917399644851685,0.7254026593256758,0.8792760298226029,0.0,0.0,0.0,-1.8922525617837695,1.8922525617837695,0.8428964639268027,1.5251927489721506
hybrid_vs_paired_all,unit,wf_curvature_norm,other,24211,8982,2.8668773449278198,1.2066870545178314,2.477186918258667,1.0280701518058777,1.2676335639224248,0.7989049315445234,0.0,0.0,0.0,-1.5669342462268467,1.5669342462268467,0.7691656356646491,1.6601902904099881
hybrid_vs_paired_all,unit,wf_bin_19,waveform_bins,24211,8982,0.2513528380025115,-0.1697690766212754,0.21980471909046173,-0.14754968881607056,0.15034543347764548,0.3676368085017782,0.0,0.0,0.0,-1.499421049524496,1.499421049524496,0.7246817233933674,0.4286282664967081
hybrid_vs_paired_all,unit,wf_bin_13,waveform_bins,24211,8982,0.03389986839196454,-0.3954051206884769,0.027436628937721252,-0.461533859372139,0.18434953855296965,0.3796110942198705,0.0,0.0,0.0,-1.4386726153241693,1.4386726153241693,0.6849114131962427,0.45148829311073996
hybrid_vs_paired_all,unit,amp_bin_cv_mean,amplitude,24211,8982,0.1904245512043962,0.40371113767892547,0.155378942412261,0.4010153172281389,0.10804796777186892,0.18606886365644576,0.00045433893684687643,0.0036740146960587694,0.003219675759211893,1.4018672031087305,1.4018672031087305,0.637643205898623,0.213614051415795
hybrid_vs_paired_all,unit,wf_trough_sharpness,other,24211,8982,0.33473834480605164,0.1438774068006057,0.31079769134521484,0.11832171678543091,0.1573051554753556,0.11865565164880514,0.0,0.008906702293475788,0.008906702293475788,-1.3698767340172089,1.3698767340172089,0.5624068878231959,0.19087691703897441
hybrid_vs_paired_all,unit,wf_trough_width_25_ms,other,24211,8982,0.20735203006897693,1.0987604839308245,0.2,0.6000000000000001,0.08463265140517333,1.028227171910455,0.0,0.0,0.0,1.2219023428699147,1.2219023428699147,0.8086932795186195,0.8945120318179931
hybrid_vs_paired_all,unit,peak_to_trough_uv,other,24211,8982,58.370988071021436,657.8382609538739,62.015625,470.9375,25.15845037325188,700.9777340442804,0.0,0.0,0.0,1.2086393215142133,1.2086393215142133,0.947922660496832,599.4672728828525
hybrid_vs_paired_all,unit,amp_cv,amplitude,24211,8982,0.20647767983255458,0.45796925926193555,0.16653267554217233,0.42645309524141173,0.11653469963079645,0.29293845552878106,0.0,0.0,0.0,1.1281320715489676,1.1281320715489676,0.6118507396943416,0.2520393536191713
hybrid_vs_paired_all,unit,median_cosine,confusability,24211,8982,0.10400819015889043,0.4533111570585089,0.0263697300106287,0.4388060122728348,0.17621760419796773,0.41706210751414047,0.0,0.0,0.0,1.091056609858222,1.091056609858222,0.45698658939088,0.3816820629520122
hybrid_vs_paired_all,unit,wf_bin_12,waveform_bins,24211,8982,0.0354102346892912,-0.22572846520943946,0.02231568656861782,-0.18094026297330856,0.10163184749940457,0.3496285073248306,0.0,0.0,0.0,-1.01429676330453,1.01429676330453,0.6345433789759061,0.2979283227847985
hybrid_vs_paired_all,unit,mean_cosine_top5,confusability,24211,8982,0.622562010807185,0.8171701480399555,0.6497008800506592,0.862136572599411,0.19841543828863592,0.18519608999841156,0.0,0.0,0.0,1.0140085804309606,1.0140085804309606,0.41158128445105857,0.195837146360943
hybrid_vs_paired_all,unit,wf_bin_20,waveform_bins,24211,8982,0.17566646777718734,-0.10287576423237514,0.13741198182106018,-0.051446881145238876,0.12963681634949192,0.3724207289598909,0.0,0.0,0.0,-0.9989340064283407,0.9989340064283407,0.5836233985003128,0.2959574107026985
hybrid_vs_paired_all,unit,n_active_channels,other,24211,8982,6.495890297798521,14.318637274549099,5.0,11.0,5.114993946220303,9.874801098765166,0.0,0.0,0.0,0.9947949406764168,0.9947949406764168,0.3761022474045977,7.827392691477061
