study_set,recording_name,recording_key,dataset_kind,pc1,pc2,dataset_type
PAIRED_BOYDEN,1103_1_1,PAIRED_BOYDEN::1103_1_1,paired,21.67029242870077,-7.815685651491862,paired
PAIRED_BOYDEN,1103_1_1,PAIRED_BOYDEN::1103_1_1,paired,12.284592185075262,-5.304333423562791,paired
PAIRED_BOYDEN,1103_1_1,PAIRED_BOYDEN::1103_1_1,paired,11.026807783313082,-2.8379293057494426,paired
PAIRED_BOYDEN,1103_1_1,PAIRED_BOYDEN::1103_1_1,paired,14.540524264865988,-5.658047702901573,paired
PAIRED_BOYDEN,1103_1_1,PAIRED_BOYDEN::1103_1_1,paired,13.655210088280292,-6.1759663836585075,paired
PAIRED_BOYDEN,1103_1_1,PAIRED_BOYDEN::1103_1_1,paired,11.89133540780949,-3.093715266081232,paired
PAIRED_BOYDEN,1103_1_1,PAIRED_BOYDEN::1103_1_1,paired,14.652913045009438,-5.6626817385815915,paired
PAIRED_BOYDEN,1103_1_1,PAIRED_BOYDEN::1103_1_1,paired,16.359225263558024,-6.799204063868193,paired
PAIRED_BOYDEN,1103_1_1,PAIRED_BOYDEN::1103_1_1,paired,15.858585478310628,-7.131294768771763,paired
PAIRED_BOYDEN,1103_1_1,PAIRED_BOYDEN::1103_1_1,paired,13.46912314207858,-5.315603779376387,paired
PAIRED_BOYDEN,1103_1_1,PAIRED_BOYDEN::1103_1_1,paired,9.786109510932445,-1.8183817272939078,paired
PAIRED_BOYDEN,1103_1_1,PAIRED_BOYDEN::1103_1_1,paired,16.029132956260863,-5.616863346011318,paired
PAIRED_BOYDEN,1103_1_1,PAIRED_BOYDEN::1103_1_1,paired,12.459572645483927,-4.085236970420326,paired
PAIRED_BOYDEN,1103_1_1,PAIRED_BOYDEN::1103_1_1,paired,12.843769567259738,-4.365533355366903,paired
PAIRED_BOYDEN,1103_1_1,PAIRED_BOYDEN::1103_1_1,paired,13.778128239951561,-5.763655961412924,paired
PAIRED_BOYDEN,1103_1_1,PAIRED_BOYDEN::1103_1_1,paired,15.187934216489989,-6.703878563924278,paired
PAIRED_BOYDEN,1103_1_1,PAIRED_BOYDEN::1103_1_1,paired,12.777194332752735,-4.565773754085818,paired
PAIRED_BOYDEN,1103_1_1,PAIRED_BOYDEN::1103_1_1,paired,11.14203282428037,-2.8560372932551275,paired
PAIRED_BOYDEN,1103_1_1,PAIRED_BOYDEN::1103_1_1,paired,6.5821614301079725,0.3963279022442044,paired
PAIRED_BOYDEN,1103_1_1,PAIRED_BOYDEN::1103_1_1,paired,14.100907812413594,-4.945591889399074,paired
PAIRED_BOYDEN,1103_1_1,PAIRED_BOYDEN::1103_1_1,paired,12.628543097291127,-4.89310902886948,paired
PAIRED_BOYDEN,1103_1_1,PAIRED_BOYDEN::1103_1_1,paired,14.683785762074784,-6.213919076401552,paired
PAIRED_BOYDEN,1103_1_1,PAIRED_BOYDEN::1103_1_1,paired,9.5638914041025,-2.121464278036936,paired
PAIRED_BOYDEN,1103_1_1,PAIRED_BOYDEN::1103_1_1,paired,15.157027946823494,-6.114848891334013,paired
PAIRED_BOYDEN,1103_1_1,PAIRED_BOYDEN::1103_1_1,paired,14.97450198992291,-6.287165710219362,paired
PAIRED_BOYDEN,1103_1_1,PAIRED_BOYDEN::1103_1_1,paired,9.76464386875636,-3.03753309893661,paired
PAIRED_BOYDEN,1103_1_1,PAIRED_BOYDEN::1103_1_1,paired,9.626501814598138,-0.9472235381422939,paired
PAIRED_BOYDEN,1103_1_1,PAIRED_BOYDEN::1103_1_1,paired,15.260888933835266,-6.226381597334886,paired
PAIRED_BOYDEN,1103_1_1,PAIRED_BOYDEN::1103_1_1,paired,15.445341658816117,-5.6522590267251465,paired
PAIRED_BOYDEN,1103_1_1,PAIRED_BOYDEN::1103_1_1,paired,11.381572562590678,-3.8594219579715756,paired
PAIRED_BOYDEN,1103_1_1,PAIRED_BOYDEN::1103_1_1,paired,15.116792192618282,-5.772873341768256,paired
PAIRED_BOYDEN,1103_1_1,PAIRED_BOYDEN::1103_1_1,paired,11.144662391958196,-2.6307526811555624,paired
PAIRED_BOYDEN,1103_1_1,PAIRED_BOYDEN::1103_1_1,paired,13.817611361274356,-4.978475444641961,paired
PAIRED_BOYDEN,1103_1_1,PAIRED_BOYDEN::1103_1_1,paired,15.825391560763924,-6.498837995494008,paired
PAIRED_BOYDEN,1103_1_1,PAIRED_BOYDEN::1103_1_1,paired,8.984788852106675,-2.3646597280660484,paired
PAIRED_BOYDEN,1103_1_1,PAIRED_BOYDEN::1103_1_1,paired,4.121591584308846,2.6342281534815135,paired
PAIRED_BOYDEN,1103_1_1,PAIRED_BOYDEN::1103_1_1,paired,11.32856043325929,-3.895139664527172,paired
PAIRED_BOYDEN,1103_1_1,PAIRED_BOYDEN::1103_1_1,paired,11.491747918925109,-3.999887094419313,paired
PAIRED_BOYDEN,1103_1_1,PAIRED_BOYDEN::1103_1_1,paired,9.938408083647667,-3.113836714156509,paired
PAIRED_BOYDEN,1103_1_1,PAIRED_BOYDEN::1103_1_1,paired,13.873420167339466,-4.547966771574793,paired
PAIRED_BOYDEN,1103_1_1,PAIRED_BOYDEN::1103_1_1,paired,12.344503524850973,-5.076956585711544,paired
PAIRED_BOYDEN,1103_1_1,PAIRED_BOYDEN::1103_1_1,paired,8.394636331697434,-1.835550571733139,paired
PAIRED_BOYDEN,1103_1_1,PAIRED_BOYDEN::1103_1_1,paired,13.799047839031125,-4.249197537024479,paired
PAIRED_BOYDEN,1103_1_1,PAIRED_BOYDEN::1103_1_1,paired,13.41783758666626,-3.7545681931385917,paired
PAIRED_BOYDEN,1103_1_1,PAIRED_BOYDEN::1103_1_1,paired,13.528508601879274,-5.322752224937935,paired
PAIRED_BOYDEN,1103_1_1,PAIRED_BOYDEN::1103_1_1,paired,16.902189757025347,-7.432523593528675,paired
PAIRED_BOYDEN,1103_1_1,PAIRED_BOYDEN::1103_1_1,paired,16.96845795629113,-6.767494743512717,paired
PAIRED_BOYDEN,1103_1_1,PAIRED_BOYDEN::1103_1_1,paired,18.556828737900076,-7.774307234020838,paired
PAIRED_BOYDEN,1103_1_1,PAIRED_BOYDEN::1103_1_1,paired,15.072647459934837,-6.671851221418989,paired
PAIRED_BOYDEN,1103_1_1,PAIRED_BOYDEN::1103_1_1,paired,8.40285415848599,-2.8421781889890223,paired
PAIRED_BOYDEN,1103_1_1,PAIRED_BOYDEN::1103_1_1,paired,9.598040879103324,-3.2442419716111552,paired
PAIRED_BOYDEN,1103_1_1,PAIRED_BOYDEN::1103_1_1,paired,15.716397417900172,-6.205472669702938,paired
PAIRED_BOYDEN,1103_1_1,PAIRED_BOYDEN::1103_1_1,paired,17.09232374882221,-8.136394030103979,paired
PAIRED_BOYDEN,1103_1_1,PAIRED_BOYDEN::1103_1_1,paired,17.55690173259853,-7.475822726341247,paired
PAIRED_BOYDEN,1103_1_1,PAIRED_BOYDEN::1103_1_1,paired,15.241125337026267,-5.99922942017696,paired
PAIRED_BOYDEN,1103_1_1,PAIRED_BOYDEN::1103_1_1,paired,17.20557370695686,-5.473320982534645,paired
